,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10,x11,y11,x12,y12,x13,y13,x14,y14,x15,y15,x16,y16,x17,y17,x18,y18,x19,y19,x20,y20,x21,y21,x22,y22,x23,y23,x24,y24,x25,y25,x26,y26,x27,y27,x28,y28,x29,y29,x30,y30,x31,y31,x32,y32,x33,y33,x34,y34,x35,y35,x36,y36,x37,y37,x38,y38,x39,y39,x40,y40,x41,y41,x42,y42,x43,y43,x44,y44,x45,y45,x46,y46,x47,y47,x48,y48,x49,y49,x50,y50,x51,y51,x52,y52,x53,y53,x54,y54,x55,y55,x56,y56,x57,y57,x58,y58,x59,y59,x60,y60,x61,y61,x62,y62,x63,y63,x64,y64,x65,y65,x66,y66,x67,y67,x68,y68,x69,y69,x70,y70,x71,y71,x72,y72,x73,y73,x74,y74,x75,y75,x76,y76,x77,y77,x78,y78,x79,y79,x80,y80,x81,y81,x82,y82,x83,y83,x84,y84,x85,y85,x86,y86,x87,y87,x88,y88,x89,y89,x90,y90,x91,y91,x92,y92,x93,y93,x94,y94,x95,y95,x96,y96,x97,y97,x98,y98,x99,y99,x100,y100,x101,y101
0,272.0,480.0,272.0,480.0,271.694824219,480.164031982,271.215606689,480.573516846,270.897583008,480.939544678,270.492645264,481.259887695,269.985748291,481.644134521,269.626495361,481.867706299,269.080749512,481.928741455,268.787109375,482.15447998,268.500152588,482.237609863,268.115020752,482.505554199,267.929229736,482.802215576,267.786010742,482.769927979,267.526184082,482.881164551,267.307434082,483.047698975,267.062957764,483.261932373,266.596099854,483.445220947,266.223693848,483.740997314,265.797027588,483.893707275,265.328887939,484.194671631,264.967987061,484.323883057,264.550994873,484.466827393,264.1953125,484.864746094,263.909484863,485.039276123,263.534545898,485.236755371,263.286193848,485.628723145,263.060211182,485.746063232,262.796875,485.942932129,262.40234375,486.138793945,262.193481445,486.235809326,261.93560791,486.482635498,261.853942871,486.704162598,261.682922363,486.757415771,261.36932373,487.015960693,261.231750488,487.078186035,260.969116211,487.261535645,260.581420898,487.503051758,260.349456787,487.661376953,259.972106934,487.703186035,259.663604736,487.93270874,259.432250977,487.900146484,259.010375977,488.021362305,258.717895508,488.198577881,258.605560303,488.209381104,258.178833008,488.371520996,257.950683594,488.608734131,257.695892334,488.617523193,257.362670898,488.773712158,257.163330078,489.060119629,256.91998291,489.153503418,256.587036133,489.225219727,256.560974121,489.367462158,256.252990723,489.49911499,255.844512939,489.89364624,255.634506226,490.16519165,255.249099731,490.395843506,254.917205811,490.550140381,254.487182617,490.549468994,254.024932861,490.574157715,253.608535767,490.725463867,253.414321899,490.626098633,253.130004883,490.511169434,252.815353394,490.520019531,252.51361084,490.467803955,252.093536377,490.485839844,251.843292236,490.598999023,251.685455322,490.723327637,251.437149048,490.721374512,251.338699341,490.998931885,251.178375244,491.25894165,250.917358398,491.565490723,250.917526245,491.750335693,250.615219116,492.071685791,250.273269653,492.239807129,249.943130493,492.306274414,249.547653198,492.498809814,249.145568848,492.531158447,248.827713013,492.311706543,248.430374146,492.197143555,248.116317749,492.381256104,247.851333618,492.439544678,247.371063232,492.53994751,247.098083496,492.850952148,246.716033936,492.667236328,246.270187378,492.625946045,246.140548706,492.619812012,245.967422485,492.735717773,245.715515137,492.693939209,245.707901001,492.62689209,245.449447632,492.542144775,244.969848633,492.928222656,244.760665894,492.97265625,244.238830566,493.159240723,243.851242065,493.361968994,243.584487915,493.239257812,243.176895142,493.434356689,242.741714478,493.536682129,242.389465332,493.460723877,242.01121521,493.610473633,241.688644409,493.884338379
1,212.0,465.0,212.0,465.0,211.561538696,465.220825195,210.897689819,465.691619873,210.381317139,466.011199951,209.893096924,466.254760742,209.252075195,466.603942871,208.821029663,466.753448486,208.131347656,466.717071533,207.647171021,466.911102295,207.15826416,466.907073975,206.590270996,467.098999023,206.160186768,467.338287354,205.780990601,467.207855225,205.32673645,467.238586426,205.029388428,467.311279297,204.667633057,467.463439941,204.107254028,467.573547363,203.699523926,467.768310547,203.12739563,467.835296631,202.625671387,468.085693359,202.118225098,468.189422607,201.616424561,468.233734131,201.115325928,468.607269287,200.724685669,468.675323486,200.229949951,468.761199951,199.962493896,469.001159668,199.703765869,468.971374512,199.362213135,469.047485352,198.958053589,469.05078125,198.702102661,468.963867188,198.388870239,469.018157959,198.267425537,468.979705811,198.089691162,468.782073975,197.829437256,468.747131348,197.720993042,468.512268066,197.402130127,468.306884766,196.960174561,468.243438721,196.744552612,468.065826416,196.36541748,467.832214355,195.988769531,467.822387695,195.798156738,467.503753662,195.34967041,467.315246582,195.000228882,467.194671631,194.873504639,467.012908936,194.460281372,466.853485107,194.166305542,466.814575195,193.875930786,466.468963623,193.50982666,466.284667969,193.21081543,466.28894043,192.894592285,466.048828125,192.518676758,465.881439209,192.38067627,465.778778076,192.035430908,465.622833252,191.516998291,465.73815918,191.232711792,465.832580566,190.810073853,465.799987793,190.396835327,465.686096191,189.831893921,465.417877197,189.25970459,465.123046875,188.793640137,465.113739014,188.566116333,464.880279541,188.071517944,464.285736084,187.687835693,464.149780273,187.18006897,463.726654053,186.630020142,463.424621582,186.198760986,463.345275879,185.839645386,463.052520752,185.489074707,462.705657959,185.575408936,463.359405518,185.080841064,463.271453857,184.771728516,463.397003174,184.676132202,463.218383789,184.289489746,463.078735352,183.934173584,462.921569824,183.582763672,462.459716797,183.140625,462.431335449,182.590637207,462.31628418,182.017990112,461.902557373,181.471237183,461.46673584,181.017684937,461.508666992,180.487960815,461.270996094,179.925094604,461.190551758,179.705856323,461.20010376,179.385498047,460.784454346,178.789703369,460.510864258,178.513977051,460.2293396,178.350860596,459.991729736,178.159500122,459.713500977,178.151824951,459.324676514,177.767883301,459.151763916,177.283859253,459.347839355,176.920822144,459.320220947,176.235031128,459.325195312,175.763870239,459.459197998,175.503387451,459.139556885,175.184112549,459.004333496,174.623580933,458.915283203,174.004989624,458.714569092,173.515136719,458.472442627,173.249938965,458.495666504
2,991.0,578.0,991.0,578.0,990.104797363,578.104797363,989.073242188,578.277587891,988.163513184,578.578857422,987.186035156,578.873901367,986.084594727,579.059265137,985.142883301,579.274658203,984.056762695,579.32232666,983.163635254,579.589233398,982.323364258,579.661743164,981.360290527,579.861083984,980.643249512,580.104248047,979.878967285,580.071899414,979.045410156,580.098571777,978.248352051,580.231567383,977.450500488,580.572753906,976.367248535,580.736450195,975.453491211,580.957885742,974.391845703,581.101318359,973.407165527,581.298461914,972.43737793,581.37286377,971.488891602,581.404968262,970.58581543,581.718933105,969.692382812,581.871582031,968.741149902,581.994384766,967.921081543,582.331848145,967.035705566,582.475097656,966.15802002,582.727844238,965.223266602,582.987915039,964.409790039,583.157043457,963.573547363,583.356994629,962.946105957,583.596984863,962.107177734,583.828918457,961.248413086,583.972412109,960.624816895,584.005981445,959.711608887,584.23614502,958.807678223,584.466186523,957.893737793,584.570983887,956.981689453,584.722167969,956.099975586,584.897888184,955.226806641,584.985595703,954.169250488,585.195861816,953.297973633,585.348144531,952.616088867,585.441345215,951.630004883,585.695922852,950.838867188,585.948425293,949.925476074,586.109680176,949.048156738,586.234985352,948.204040527,586.561096191,947.335998535,586.696716309,946.463928223,586.597473145,945.786743164,586.890991211,944.973937988,586.880126953,944.010498047,587.183288574,943.184509277,587.492675781,942.172058105,587.830627441,941.269104004,587.965332031,940.227539062,588.049743652,939.120300293,588.094360352,938.040161133,588.343933105,937.24029541,588.413391113,936.311767578,588.424133301,935.51574707,588.503723145,934.580932617,588.605712891,933.652526855,588.740112305,932.787231445,588.772338867,931.91595459,588.981567383,931.072875977,588.972717285,946.819824219,596.609008789,946.014831543,596.805725098,945.200927734,596.999511719,944.679931641,597.084838867,943.793518066,597.39263916,942.873535156,597.683288574,941.903442383,597.749816895,940.884216309,597.962280273,939.903442383,597.98840332,938.936035156,597.846435547,937.928405762,597.81463623,937.021911621,597.962341309,936.125183105,597.976867676,935.071533203,598.117431641,934.18347168,598.365844727,933.161010742,598.209655762,932.118713379,598.17175293,931.409301758,598.108032227,930.719055176,598.119140625,929.878173828,598.051452637,929.215942383,597.947998047,928.386474609,597.907592773,927.332702637,598.163330078,926.563842773,598.184448242,925.427734375,598.336669922,924.448303223,598.508911133,923.620239258,598.33605957,922.625427246,598.567077637,921.529724121,598.662414551,920.650817871,598.595825195,919.593811035,598.778442383,918.719299316,598.976318359
3,1003.0,621.0,1003.0,621.0,1002.07141113,621.108642578,1001.04187012,621.280151367,1000.13470459,621.597961426,999.12713623,621.896057129,998.023986816,622.073242188,997.038391113,622.312133789,995.908935547,622.347900391,994.986328125,622.619445801,994.025878906,622.739501953,993.054443359,622.924438477,992.220275879,623.151794434,991.500061035,623.120483398,990.664916992,623.154418945,989.83984375,623.346923828,988.946655273,623.720825195,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,969.0,597.0,969.0,597.0,968.077026367,597.080078125,967.076782227,597.254089355,966.195678711,597.564208984,965.22052002,597.851257324,964.128479004,598.051818848,963.180236816,598.315246582,962.079101562,598.344970703,961.176269531,598.602661133,960.305664062,598.659057617,959.361572266,598.816589355,958.613342285,599.069458008,957.876403809,599.054199219,957.043334961,599.093688965,956.248840332,599.236694336,955.401306152,599.589172363,954.373962402,599.732788086,953.438903809,599.936279297,952.37298584,600.108337402,951.385070801,600.285583496,950.417114258,600.378601074,949.439331055,600.447937012,948.550292969,600.783508301,947.676696777,600.895935059,946.712524414,600.988647461,945.90612793,601.315856934,945.036865234,601.546142578,944.171813965,601.66192627,943.205932617,601.989807129,942.363525391,602.159912109,941.524414062,602.360107422,940.86138916,602.621643066,940.067504883,602.825805664,939.227844238,602.905822754,938.59173584,602.98425293,937.692260742,603.216064453,936.728515625,603.454345703,935.824523926,603.66192627,934.919677734,603.819274902,934.015014648,603.951171875,933.184448242,603.95123291,932.12677002,604.156799316,931.219726562,604.348449707,930.519592285,604.395935059,929.52734375,604.697692871,928.753723145,604.947753906,927.887817383,605.072570801,927.004455566,605.168518066,926.178649902,605.446105957,925.297729492,605.605651855,924.394592285,605.736755371,923.812072754,605.829162598,922.953857422,605.884887695,921.951477051,606.248596191,921.12298584,606.497680664,920.172851562,606.778625488,919.207885742,606.968017578,918.194030762,607.034729004,917.069580078,607.121520996,916.020507812,607.408325195,915.244506836,607.410461426,914.294494629,607.423828125,913.438476562,607.536254883,912.54498291,607.568603516,911.522033691,607.676269531,910.699035645,607.787719727,909.91595459,607.917724609,900.213317871,601.206115723,870.429504395,639.042480469,869.690490723,639.226928711,868.830688477,639.496398926,868.208679199,639.641357422,867.32611084,639.964416504,866.397888184,640.187744141,865.312744141,640.234069824,864.336975098,640.49029541,863.348449707,640.549804688,862.364685059,640.375427246,861.311401367,640.307434082,860.368896484,640.468444824,859.47479248,640.507751465,858.346801758,640.70501709,857.413269043,640.944641113,856.422729492,640.813049316,855.320373535,640.781738281,854.590820312,640.745849609,853.856811523,640.768676758,852.988220215,640.689025879,852.285583496,640.573120117,851.411010742,640.534484863,850.330810547,640.838745117,849.567260742,640.895812988,848.358520508,641.039611816,847.325683594,641.161743164,846.446350098,641.021911621,845.53125,641.22088623,844.293334961,641.311828613,843.337585449,641.290893555,842.321350098,641.395935059,841.403503418,641.721679688
5,261.0,380.0,261.0,380.0,260.685333252,380.072601318,260.191680908,380.352264404,259.870483398,380.645080566,259.495880127,380.992126465,258.993988037,381.210479736,258.693603516,381.448883057,258.140167236,381.471923828,257.848419189,381.660919189,257.602844238,381.643768311,257.256134033,381.906951904,257.066040039,382.095184326,256.942565918,382.018737793,256.696777344,382.076385498,256.491333008,382.198791504,256.252960205,382.386322021,255.821670532,382.524932861,255.452697754,382.733459473,255.013916016,382.826080322,254.610565186,383.091094971,254.20880127,383.229919434,253.865463257,383.379058838,253.48651123,383.71697998,253.192459106,383.878448486,252.831588745,384.015808105,252.644866943,384.387786865,252.403381348,384.450286865,252.136993408,384.659515381,251.792816162,384.750946045,251.615112305,384.859039307,251.324295044,385.004333496,251.290725708,385.249206543,251.128952026,385.244049072,250.856369019,385.456878662,250.754974365,385.545135498,250.492660522,385.763061523,250.068908691,385.906036377,249.893447876,386.005889893,249.54888916,386.07434082,249.203643799,386.272949219,249.022521973,386.219818115,248.654434204,386.442382812,248.31892395,386.559082031,248.210525513,386.514282227,247.831008911,386.755462646,247.609298706,386.903320312,247.354888916,386.935852051,247.086593628,387.084747314,246.830566406,387.326904297,246.642791748,387.461761475,246.256011963,387.43536377,246.250015259,387.679718018,245.961410522,387.71762085,245.56288147,388.175231934,245.318099976,388.417938232,244.981948853,388.683990479,244.662689209,388.846282959,244.218139648,388.851928711,243.809585571,388.925292969,243.375991821,388.969726562,243.194000244,388.867095947,242.976928711,388.778930664,242.677230835,388.834503174,242.391494751,388.682525635,241.99798584,388.773132324,241.739440918,388.838256836,241.596939087,389.014221191,241.347320557,389.01550293,241.222717285,389.327453613,241.071105957,389.582000732,240.78453064,389.90020752,240.793777466,390.081481934,240.479598999,390.410675049,240.196136475,390.624389648,239.856460571,390.711914062,239.450393677,390.876342773,239.069366455,390.923339844,238.782012939,390.752410889,238.361495972,390.557189941,238.065292358,390.70401001,237.828292847,390.776306152,237.369796753,390.929199219,237.058227539,391.152374268,236.685516357,390.944793701,236.259124756,390.965820312,236.133758545,390.999420166,235.959365845,391.039581299,235.687957764,391.011047363,235.67578125,390.96005249,235.442459106,390.976287842,234.941421509,391.225189209,234.735061646,391.340484619,234.240036011,391.519866943,233.847366333,391.756561279,233.573730469,391.632537842,233.161865234,391.776367188,232.705566406,391.839691162,232.424972534,391.908813477,231.99671936,391.893127441,231.686950684,392.214752197
6,1002.0,576.0,1002.0,576.0,1001.1114502,576.112731934,1000.08081055,576.291503906,999.181091309,576.595947266,998.18560791,576.883483887,997.096435547,577.064453125,996.15814209,577.301269531,995.065124512,577.340454102,994.170837402,577.61541748,993.307739258,577.710388184,992.352050781,577.882324219,991.634460449,578.116149902,990.919006348,578.081604004,990.098327637,578.105712891,989.315429688,578.261352539,988.481445312,578.612609863,987.408630371,578.770996094,986.495117188,578.981262207,985.429870605,579.133605957,984.4609375,579.313598633,983.473754883,579.401062012,982.574279785,579.403198242,981.647216797,579.731628418,980.764831543,579.87878418,979.815856934,580.012023926,979.027587891,580.350158691,978.188537598,580.519348145,977.274597168,580.75769043,976.342895508,581.005493164,975.577087402,581.116394043,974.731323242,581.338989258,974.091247559,581.531921387,973.250732422,581.80291748,972.411315918,581.95324707,971.777954102,581.99041748,970.885192871,582.21295166,969.996826172,582.433959961,969.075500488,582.578491211,968.173400879,582.710205078,967.26965332,582.921081543,966.427001953,582.958251953,965.347106934,583.163635254,964.493530273,583.37310791,963.791625977,583.435546875,962.808837891,583.72277832,962.006164551,583.939819336,961.121765137,584.087768555,960.25,584.25177002,959.430236816,584.624328613,958.609924316,584.737609863,957.758789062,584.65826416,957.016296387,584.885192871,956.215820312,584.913635254,955.269226074,585.197875977,954.406677246,585.54498291,953.43548584,585.850891113,952.546813965,585.999206543,951.504760742,586.057495117,950.405883789,586.135131836,949.308227539,586.384216309,948.579223633,586.475280762,947.647094727,586.432312012,946.829345703,586.541564941,945.888122559,586.641967773,944.929870605,586.741760254,944.049926758,586.850524902,943.22052002,586.997253418,942.446594238,587.003417969,955.671630859,608.158325195,954.897094727,608.346679688,954.042358398,608.613464355,953.49230957,608.719177246,952.639831543,609.00592041,951.729553223,609.215393066,950.775146484,609.280578613,949.739379883,609.55645752,948.770507812,609.604919434,947.821594238,609.411010742,946.814086914,609.344604492,945.920288086,609.523803711,945.02557373,609.582275391,943.975036621,609.763366699,943.083496094,609.962768555,942.0546875,609.848754883,941.014038086,609.81048584,940.263366699,609.751708984,939.558532715,609.76159668,938.720092773,609.66217041,938.059326172,609.532226562,937.212219238,609.461425781,936.156921387,609.787841797,935.327392578,609.821166992,934.243835449,609.962402344,933.254211426,610.083374023,932.36505127,609.947692871,931.395690918,610.09954834,930.28527832,610.17364502,929.401611328,610.138244629,928.349304199,610.269287109,927.445495605,610.53729248
7,1019.0,590.0,1019.0,590.0,1018.10211182,590.098510742,1017.06542969,590.272827148,1016.16033936,590.55657959,1015.18884277,590.878173828,1014.0904541,591.046447754,1013.16387939,591.264343262,1012.0512085,591.297180176,1011.16363525,591.564208984,1010.27575684,591.683288574,1009.34899902,591.881896973,1008.65167236,592.082763672,1007.89367676,592.052368164,1007.04541016,592.087097168,1006.24530029,592.222595215,1005.38043213,592.600524902,1004.33258057,592.745910645,1003.39788818,592.955993652,1002.3170166,593.128234863,1001.34283447,593.298156738,1000.36682129,593.394714355,999.414123535,593.418823242,998.496826172,593.720031738,997.653503418,593.885253906,996.667175293,593.999267578,995.925109863,594.34576416,995.075256348,594.54876709,994.154052734,594.809326172,993.199157715,595.021972656,992.414367676,595.159484863,991.58215332,595.420349121,990.947265625,595.668701172,990.10357666,595.83996582,989.233398438,595.982177734,988.585449219,596.03692627,987.719055176,596.249816895,986.751037598,596.514465332,985.906982422,596.727905273,984.936889648,596.808105469,984.006835938,597.011962891,983.15423584,597.031311035,982.122436523,597.252197266,981.207763672,597.453063965,980.510009766,597.525634766,979.521240234,597.790466309,978.742675781,598.017089844,977.85333252,598.118103027,976.92401123,598.307556152,976.086364746,598.668273926,975.240844727,598.802185059,974.369934082,598.772399902,973.802856445,598.955871582,972.922790527,598.962341309,971.942016602,599.249755859,971.076782227,599.603393555,970.10949707,599.872070312,969.159973145,600.024108887,968.140563965,600.084106445,967.0625,600.192749023,966.020446777,600.428710938,965.19152832,600.509521484,964.27142334,600.485839844,963.351196289,600.621582031,962.454833984,600.721252441,961.407348633,600.836486816,960.621154785,600.916687012,959.839599609,601.085632324,942.252197266,594.61126709,964.450561523,624.448181152,963.728149414,624.708007812,962.896179199,624.895019531,962.279418945,624.998352051,961.37286377,625.277954102,960.460510254,625.573181152,959.499206543,625.649902344,958.456115723,625.873779297,957.485961914,625.906616211,956.495178223,625.77532959,955.454101562,625.717346191,954.58380127,625.852722168,953.696716309,625.894104004,952.621032715,626.038452148,951.715698242,626.246398926,950.671875,626.117919922,949.622558594,626.083740234,948.893859863,626.035766602,948.095214844,626.054504395,947.22467041,625.975097656,946.671386719,625.871337891,945.799377441,625.839294434,944.726013184,626.072814941,943.891113281,626.103271484,942.774719238,626.260192871,941.768127441,626.391967773,940.865661621,626.238464355,939.855285645,626.456298828,938.783325195,626.539550781,937.842590332,626.488586426,936.800231934,626.673522949,935.888366699,626.902832031
8,857.0,633.0,857.0,633.0,856.144592285,633.16595459,855.19140625,633.317260742,854.314758301,633.660339355,853.382263184,633.958251953,852.350830078,634.129821777,851.428649902,634.356811523,850.322265625,634.432128906,849.518920898,634.686767578,848.706298828,634.78717041,847.773132324,634.950073242,847.039123535,635.19152832,846.279541016,635.124328613,845.570495605,635.122924805,844.822875977,635.268554688,843.98651123,635.604431152,846.274047852,639.423339844,845.352539062,639.734375,844.307678223,639.89453125,843.359741211,640.098083496,842.44128418,640.182189941,841.558288574,640.213928223,840.740905762,640.440368652,839.884765625,640.667053223,838.924804688,640.809936523,838.168762207,641.123168945,837.391906738,641.193359375,836.538330078,641.455688477,835.65045166,641.731445312,834.879455566,641.862670898,833.956420898,642.115722656,833.341247559,642.26953125,832.642211914,642.40447998,831.812683105,642.618103027,831.163024902,642.656066895,830.311889648,642.885375977,829.332763672,643.166564941,828.507263184,643.376953125,827.524291992,643.529846191,826.698730469,643.782348633,825.862426758,643.831848145,824.851623535,643.990661621,824.091552734,643.99810791,823.370605469,644.031860352,822.398742676,644.257202148,821.618591309,644.629150391,820.680297852,644.817626953,819.789306641,645.000244141,818.976379395,645.306396484,818.241882324,645.378173828,817.34942627,645.436950684,816.832824707,645.523803711,815.920288086,645.679077148,814.990722656,645.953125,814.179382324,646.170776367,813.214660645,646.508178711,812.280456543,646.669372559,811.267272949,646.746520996,810.168334961,646.879516602,809.183837891,647.039611816,808.350280762,647.094482422,807.497070312,647.067260742,806.628234863,647.108947754,805.746887207,647.128601074,804.751953125,647.226257324,803.90814209,647.318664551,803.137207031,647.491088867,802.29510498,647.45892334,865.503662109,643.666625977,864.71496582,643.85723877,863.878662109,644.077758789,863.260253906,644.177856445,862.373962402,644.558105469,861.436096191,644.816711426,860.328674316,644.863647461,859.342651367,645.07043457,858.360473633,645.105224609,857.36340332,644.981384277,856.306518555,644.923156738,855.361877441,645.04699707,854.447143555,645.086486816,853.325500488,645.239929199,852.38873291,645.53503418,851.372741699,645.348632812,850.26965332,645.313415527,849.512207031,645.278259277,848.816223145,645.289245605,847.941467285,645.211425781,847.232421875,645.114990234,846.324890137,645.08984375,845.264038086,645.377075195,844.463256836,645.444519043,843.255493164,645.644287109,842.232666016,645.788818359,841.327758789,645.646911621,840.379333496,645.83972168,839.187011719,645.928344727,838.204528809,645.909118652,837.190063477,645.994018555,836.243652344,646.242919922
9,979.0,677.0,979.0,677.0,977.991699219,677.115234375,976.92980957,677.263305664,975.933654785,677.69342041,974.845336914,677.938049316,973.63482666,678.101318359,972.54284668,678.389648438,971.290527344,678.46282959,970.257080078,678.709777832,969.204528809,678.784423828,968.121948242,678.911071777,967.155029297,679.134338379,966.411804199,679.117553711,965.506225586,679.193237305,964.663757324,679.376403809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
